state,district,identity_stability_score,mobility_indicator,digital_instability_index,update_burden_index
100000,100000,1.0,0.0,0.0,833333333.3333334
Andaman & Nicobar Islands,Andamans,0.9998709744438122,0.07183472544954116,0.0630026694205246,49891500904.60579
Andaman & Nicobar Islands,Nicobars,0.9999928825876064,0.0,0.0,8571428571.428572
Andaman & Nicobar Islands,South Andaman,0.9999590762814327,0.0241136329914634,0.021977451416067124,20218068536.065422
Andaman and Nicobar Islands,Nicobar,0.999711888873331,0.06838725771563187,0.058093915249357364,90783582090.53528
Andaman and Nicobar Islands,North And Middle Andaman,0.999566909499437,0.09288628525390355,0.07225877956719806,145873287672.70407
Andaman and Nicobar Islands,South Andaman,0.9996573265582465,0.1350855506490782,0.11062553966689802,118740942030.21513
Andhra Pradesh,Adilabad,0.9995010481678684,0.2031251422770196,0.16088994309184376,138138977638.74274
Andhra Pradesh,Alluri Sitharama Raju,0.9997127658093525,0.12014975929335943,0.0994209183401072,83408044213.94824
Andhra Pradesh,Anakapalli,0.9998249005018279,0.1402315793410022,0.11473445848179234,56483580355.10532
Andhra Pradesh,Anantapur,0.9995114427820088,0.21109589038573576,0.16648610869484246,131619256020.17516
Andhra Pradesh,Ananthapur,0.9996431030375871,0.11720060271898321,0.09719825476834533,121676765452.287
Andhra Pradesh,Ananthapuramu,0.9994478878042438,0.11255264226345046,0.09344154354889858,174464513388.8388
Andhra Pradesh,Annamayya,0.9996412160231269,0.12800564505038917,0.10728192613111687,96692289215.51166
Andhra Pradesh,Bapatla,0.9998524308710413,0.09873511035956355,0.08447600664109882,49569476669.60157
Andhra Pradesh,Chittoor,0.9988001391581071,0.25213979446134427,0.19474962270059798,310785219404.77313
Andhra Pradesh,Cuddapah,0.9991574812474086,0.2339646572177891,0.1827775404854782,223799140375.443
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,0.9998718078112063,0.11057243810206273,0.09346123038823495,44108246324.7524
Andhra Pradesh,East Godavari,0.9991447004496107,0.21999714441736987,0.17268140051470005,241207939401.57947
