,enrolment_growth_rate,adult_enrolment_share,mobility_indicator,digital_instability_index,identity_stability_score,update_burden_index,manual_labor_proxy,seasonal_variance_score,anomaly_severity_score,enrolment_volatility_index,demographic_update_rate,biometric_update_rate
enrolment_growth_rate,1.0,0.03477772926800719,0.0645592634977346,0.060446612471059244,-0.03535743688488266,-0.01376500188171697,0.057670500642990806,0.0330646578795212,0.21419898621601066,0.10408398183217916,-0.009974948470239834,-0.014024330679127258
adult_enrolment_share,0.03477772926800719,1.0,0.01253669183428731,0.011351305985912089,0.0007463794013243038,-0.014331495067745482,0.004848735913309671,0.04569901564777818,0.06271528270958922,0.0646696170389039,-0.009872550684700224,-0.01501289957177169
mobility_indicator,0.0645592634977346,0.01253669183428731,1.0,0.9711205678895148,-0.09905255104216724,0.03385289839992971,0.28797596747224996,0.030721040648046555,0.05788748301588963,0.0536418973435012,0.10390369401797067,-0.028632780321536277
digital_instability_index,0.060446612471059244,0.011351305985912089,0.9711205678895148,1.0,-0.09601501617451938,0.03227425436029835,0.27079227529716654,0.029049421084755552,0.05440259902856543,0.04990565167691024,0.10223534187805891,-0.029824464178982723
identity_stability_score,-0.03535743688488266,0.0007463794013243038,-0.09905255104216724,-0.09601501617451938,1.0,-0.8620776343945303,-0.1467046498740246,-0.040101451677445776,0.03370829454817681,-0.027552567021132523,-0.7944535682789657,-0.7435159969270935
update_burden_index,-0.01376500188171697,-0.014331495067745482,0.03385289839992971,0.03227425436029835,-0.8620776343945303,1.0,0.11919904471185938,0.01809471981172989,-0.11139038211273604,-0.05827577962593078,0.8582066527895829,0.9128580175529485
manual_labor_proxy,0.057670500642990806,0.004848735913309671,0.28797596747224996,0.27079227529716654,-0.1467046498740246,0.11919904471185938,1.0,0.004535513122084378,0.04410030013275308,0.07586930735113777,0.06309113525940209,0.13999608694421017
seasonal_variance_score,0.0330646578795212,0.04569901564777818,0.030721040648046555,0.029049421084755552,-0.040101451677445776,0.01809471981172989,0.004535513122084378,1.0,0.008021369480106833,0.12223979947938839,0.016492607751752746,0.01575147249937508
anomaly_severity_score,0.21419898621601066,0.06271528270958922,0.05788748301588963,0.05440259902856543,0.03370829454817681,-0.11139038211273604,0.04410030013275308,0.008021369480106833,1.0,0.4469924264828236,-0.07381935383278775,-0.11900450478151206
enrolment_volatility_index,0.10408398183217916,0.0646696170389039,0.0536418973435012,0.04990565167691024,-0.027552567021132523,-0.05827577962593078,0.07586930735113777,0.12223979947938839,0.4469924264828236,1.0,-0.06617229211273856,-0.04034430350008611
demographic_update_rate,-0.009974948470239834,-0.009872550684700224,0.10390369401797067,0.10223534187805891,-0.7944535682789657,0.8582066527895829,0.06309113525940209,0.016492607751752746,-0.07381935383278775,-0.06617229211273856,1.0,0.5738503870384292
biometric_update_rate,-0.014024330679127258,-0.01501289957177169,-0.028632780321536277,-0.029824464178982723,-0.7435159969270935,0.9128580175529485,0.13999608694421017,0.01575147249937508,-0.11900450478151206,-0.04034430350008611,0.5738503870384292,1.0
